id;train_loss;train_acc;val_acc;val_loss
0;1.796752;0.125000;-1.000000;
1;1.747121;0.250000;-1.000000;
2;1.587571;0.687500;-1.000000;
3;1.716931;0.437500;-1.000000;
4;1.684309;0.500000;-1.000000;
5;1.764079;0.312500;-1.000000;
6;1.750863;0.437500;-1.000000;
7;1.659893;0.437500;-1.000000;
8;1.578100;0.500000;-1.000000;
9;1.572250;0.437500;-1.000000;
10;1.260083;0.812500;-1.000000;
11;1.850798;0.312500;-1.000000;
12;1.574203;0.437500;-1.000000;
13;1.400031;0.625000;-1.000000;
14;1.577995;0.437500;-1.000000;
15;1.768012;0.312500;-1.000000;
16;1.418396;0.625000;-1.000000;
17;1.558736;0.375000;-1.000000;
18;1.725839;0.312500;-1.000000;
19;1.502455;0.500000;-1.000000;
20;1.557782;0.437500;-1.000000;
21;1.566682;0.500000;-1.000000;
22;1.705133;0.312500;-1.000000;
23;1.650247;0.562500;-1.000000;
24;1.516241;0.500000;-1.000000;
25;1.736584;0.437500;-1.000000;
26;1.608599;0.375000;-1.000000;
27;1.183929;0.625000;-1.000000;
28;1.445933;0.625000;-1.000000;
29;1.714933;0.500000;-1.000000;
30;1.474658;0.500000;-1.000000;
31;1.344252;0.562500;-1.000000;
32;1.441243;0.562500;-1.000000;
33;1.454379;0.500000;-1.000000;
34;1.468548;0.437500;-1.000000;
35;1.555166;0.437500;-1.000000;
36;1.177316;0.625000;-1.000000;
37;1.388529;0.500000;-1.000000;
38;1.460791;0.562500;-1.000000;
39;1.194995;0.625000;-1.000000;
40;1.277299;0.562500;-1.000000;
41;1.522883;0.437500;-1.000000;
42;1.333001;0.500000;-1.000000;
43;1.640993;0.500000;-1.000000;
44;1.802516;0.312500;-1.000000;
45;1.574948;0.375000;-1.000000;
46;1.501741;0.500000;-1.000000;
47;1.274610;0.562500;-1.000000;
48;1.683784;0.437500;-1.000000;
49;1.786065;0.375000;-1.000000;
50;1.316131;0.562500;-1.000000;
51;1.767388;0.250000;-1.000000;
52;1.558767;0.428571;-1.000000;
53;1.294085;0.625000;-1.000000;
54;1.524608;0.500000;-1.000000;
55;1.113839;0.750000;-1.000000;
56;1.461973;0.437500;-1.000000;
57;1.605913;0.500000;-1.000000;
58;1.810087;0.312500;-1.000000;
59;1.602543;0.500000;-1.000000;
60;1.419130;0.437500;-1.000000;
61;1.343740;0.500000;-1.000000;
62;1.432185;0.437500;-1.000000;
63;1.035821;0.812500;-1.000000;
64;1.869711;0.312500;-1.000000;
65;1.413565;0.437500;-1.000000;
66;1.301926;0.625000;-1.000000;
67;1.475770;0.437500;-1.000000;
68;1.738713;0.312500;-1.000000;
69;1.288939;0.625000;-1.000000;
70;1.352398;0.375000;-1.000000;
71;1.793623;0.312500;-1.000000;
72;1.511765;0.500000;-1.000000;
73;1.530004;0.437500;-1.000000;
74;1.549619;0.500000;-1.000000;
75;1.593270;0.312500;-1.000000;
76;1.573151;0.562500;-1.000000;
77;1.450087;0.500000;-1.000000;
78;1.645240;0.437500;-1.000000;
79;1.608850;0.375000;-1.000000;
80;1.116221;0.625000;-1.000000;
81;1.493941;0.625000;-1.000000;
82;1.673965;0.500000;-1.000000;
83;1.440187;0.500000;-1.000000;
84;1.309888;0.562500;-1.000000;
85;1.431894;0.562500;-1.000000;
86;1.471034;0.500000;-1.000000;
87;1.495670;0.437500;-1.000000;
88;1.487655;0.437500;-1.000000;
89;1.133288;0.625000;-1.000000;
90;1.316243;0.500000;-1.000000;
91;1.409700;0.562500;-1.000000;
92;1.199346;0.625000;-1.000000;
93;1.307773;0.562500;-1.000000;
94;1.545166;0.437500;-1.000000;
95;1.286369;0.500000;-1.000000;
96;1.594892;0.500000;-1.000000;
97;1.775874;0.312500;-1.000000;
98;1.516732;0.375000;-1.000000;
99;1.426502;0.500000;-1.000000;
100;1.282014;0.562500;-1.000000;
101;1.682825;0.437500;-1.000000;
102;1.758168;0.375000;-1.000000;
103;1.315349;0.562500;-1.000000;
104;1.808228;0.250000;-1.000000;
105;1.464632;0.428571;-1.000000;
106;1.268579;0.625000;-1.000000;
107;1.541779;0.500000;-1.000000;
108;1.064832;0.750000;-1.000000;
109;1.421534;0.437500;-1.000000;
110;1.589583;0.500000;-1.000000;
111;1.873881;0.312500;-1.000000;
112;1.598443;0.500000;-1.000000;
113;1.440698;0.437500;-1.000000;
114;1.407677;0.500000;-1.000000;
115;1.469775;0.437500;-1.000000;
116;1.037126;0.812500;-1.000000;
117;1.806659;0.312500;-1.000000;
118;1.339828;0.437500;-1.000000;
119;1.299187;0.625000;-1.000000;
120;1.447266;0.437500;-1.000000;
121;1.690620;0.312500;-1.000000;
122;1.237409;0.625000;-1.000000;
123;1.405893;0.375000;-1.000000;
124;1.779239;0.312500;-1.000000;
125;1.515500;0.500000;-1.000000;
126;1.522048;0.437500;-1.000000;
127;1.541299;0.500000;-1.000000;
128;1.530552;0.312500;-1.000000;
129;1.522138;0.562500;-1.000000;
130;1.374430;0.500000;-1.000000;
131;1.613248;0.437500;-1.000000;
132;1.543604;0.375000;-1.000000;
133;1.115290;0.625000;-1.000000;
134;1.396174;0.562500;-1.000000;
135;1.689344;0.500000;-1.000000;
136;1.451864;0.500000;-1.000000;
137;1.256532;0.562500;-1.000000;
138;1.394679;0.562500;-1.000000;
139;1.343128;0.500000;-1.000000;
140;1.528677;0.437500;-1.000000;
141;1.415373;0.437500;-1.000000;
142;1.130320;0.625000;-1.000000;
143;1.351366;0.500000;-1.000000;
144;1.353739;0.562500;-1.000000;
145;1.113857;0.625000;-1.000000;
146;1.265567;0.562500;-1.000000;
147;1.619123;0.437500;-1.000000;
148;1.316905;0.500000;-1.000000;
149;1.555694;0.500000;-1.000000;
150;1.852607;0.312500;-1.000000;
151;1.569993;0.375000;-1.000000;
152;1.364754;0.500000;-1.000000;
153;1.262798;0.562500;-1.000000;
154;1.613071;0.437500;-1.000000;
155;1.728869;0.375000;-1.000000;
156;1.250075;0.562500;-1.000000;
157;1.784691;0.250000;-1.000000;
158;1.408788;0.428571;-1.000000;
159;1.285401;0.625000;-1.000000;
160;1.578906;0.500000;-1.000000;
161;1.038995;0.750000;-1.000000;
162;1.441827;0.437500;-1.000000;
163;1.595468;0.500000;-1.000000;
164;1.834319;0.312500;-1.000000;
165;1.562114;0.500000;-1.000000;
166;1.405195;0.437500;-1.000000;
167;1.391550;0.500000;-1.000000;
168;1.405202;0.437500;-1.000000;
169;1.025329;0.812500;-1.000000;
170;1.880767;0.312500;-1.000000;
171;1.323348;0.437500;-1.000000;
172;1.263767;0.625000;-1.000000;
173;1.396817;0.437500;-1.000000;
174;1.637686;0.312500;-1.000000;
175;1.290727;0.625000;-1.000000;
176;1.415817;0.375000;-1.000000;
177;1.799769;0.312500;-1.000000;
178;1.453087;0.500000;-1.000000;
179;1.548186;0.437500;-1.000000;
180;1.511874;0.500000;-1.000000;
181;1.585951;0.312500;-1.000000;
182;1.498938;0.562500;-1.000000;
183;1.436966;0.500000;-1.000000;
184;1.556990;0.437500;-1.000000;
185;1.540768;0.375000;-1.000000;
186;1.120955;0.625000;-1.000000;
187;1.351034;0.625000;-1.000000;
188;1.663853;0.500000;-1.000000;
189;1.398456;0.500000;-1.000000;
190;1.252942;0.562500;-1.000000;
191;1.335304;0.562500;-1.000000;
192;1.354784;0.500000;-1.000000;
193;1.513947;0.437500;-1.000000;
194;1.449047;0.437500;-1.000000;
195;1.071005;0.625000;-1.000000;
196;1.428093;0.500000;-1.000000;
197;1.328440;0.562500;-1.000000;
198;1.143538;0.625000;-1.000000;
199;1.269074;0.562500;-1.000000;
200;1.592260;0.437500;-1.000000;
201;1.329620;0.500000;-1.000000;
202;1.544357;0.500000;-1.000000;
203;1.796919;0.312500;-1.000000;
204;1.491917;0.375000;-1.000000;
205;1.379473;0.500000;-1.000000;
206;1.247401;0.562500;-1.000000;
207;1.679610;0.437500;-1.000000;
208;1.752652;0.375000;-1.000000;
209;1.268160;0.562500;-1.000000;
210;1.766323;0.250000;-1.000000;
211;1.395867;0.428571;-1.000000;
212;1.286458;0.625000;-1.000000;
213;1.514594;0.500000;-1.000000;
214;1.054776;0.750000;-1.000000;
215;1.427873;0.437500;-1.000000;
216;1.533036;0.500000;-1.000000;
217;1.888483;0.312500;-1.000000;
218;1.576774;0.500000;-1.000000;
219;1.404840;0.437500;-1.000000;
220;1.346874;0.500000;-1.000000;
221;1.387270;0.437500;-1.000000;
222;1.026510;0.812500;-1.000000;
223;1.800357;0.312500;-1.000000;
224;1.318970;0.437500;-1.000000;
225;1.254157;0.625000;-1.000000;
226;1.471762;0.437500;-1.000000;
227;1.637465;0.312500;-1.000000;
228;1.284812;0.562500;-1.000000;
229;1.398464;0.375000;-1.000000;
230;1.756393;0.312500;-1.000000;
231;1.419859;0.500000;-1.000000;
232;1.511883;0.437500;-1.000000;
233;1.541009;0.500000;-1.000000;
234;1.619341;0.312500;-1.000000;
235;1.483290;0.562500;-1.000000;
236;1.438176;0.500000;-1.000000;
237;1.550851;0.437500;-1.000000;
238;1.547627;0.375000;-1.000000;
239;1.216595;0.625000;-1.000000;
240;1.337403;0.625000;-1.000000;
241;1.594049;0.500000;-1.000000;
242;1.405208;0.437500;-1.000000;
243;1.242138;0.562500;-1.000000;
244;1.311899;0.562500;-1.000000;
245;1.348425;0.500000;-1.000000;
246;1.521098;0.437500;-1.000000;
247;1.509106;0.437500;-1.000000;
248;1.085290;0.625000;-1.000000;
249;1.402797;0.500000;-1.000000;
250;1.365446;0.562500;-1.000000;
251;1.184831;0.625000;-1.000000;
252;1.238994;0.562500;-1.000000;
253;1.562437;0.437500;-1.000000;
254;1.356246;0.500000;-1.000000;
