id;train_loss;train_acc;val_acc;val_loss
0;1.550575;0.469607;0.511111;
1;1.473285;0.486293;0.511111;
2;1.453134;0.485101;0.511111;
3;1.445864;0.486293;0.511111;
4;1.438500;0.483909;0.511111;
5;1.421033;0.486293;0.511111;
6;1.415820;0.483909;0.511111;
7;1.403163;0.487485;0.511111;
8;1.405038;0.485101;0.511111;
9;1.390172;0.488677;0.511111;
10;1.380106;0.489869;0.511111;
11;1.364982;0.488677;0.511111;
12;1.354031;0.507747;0.511111;
13;1.341932;0.491061;0.511111;
14;1.320433;0.513707;0.511111;
15;1.332376;0.508939;0.522222;
16;1.310650;0.519666;0.522222;
17;1.306541;0.526818;0.550000;
18;1.298039;0.524434;0.538889;
19;1.286985;0.522050;0.527778;
20;1.291706;0.508939;0.533333;
21;1.254166;0.539928;0.527778;
22;1.254700;0.532777;0.494444;
23;1.250658;0.542312;0.488889;
24;1.262031;0.539928;0.472222;
25;1.241298;0.544696;0.488889;
26;1.229142;0.539928;0.483333;
27;1.212572;0.547080;0.500000;
28;1.202249;0.550656;0.472222;
29;1.213825;0.556615;0.505556;
30;1.193242;0.551847;0.500000;
31;1.173899;0.562574;0.466667;
32;1.169717;0.558999;0.505556;
33;1.169853;0.570918;0.511111;
34;1.171906;0.554231;0.500000;
35;1.145996;0.573302;0.483333;
36;1.153596;0.567342;0.461111;
37;1.172368;0.567342;0.472222;
38;1.132358;0.567342;0.416667;
39;1.147705;0.561383;0.438889;
40;1.121138;0.584029;0.450000;
41;1.106172;0.594756;0.472222;
42;1.097543;0.591180;0.472222;
43;1.103922;0.586412;0.461111;
44;1.089165;0.593564;0.427778;
45;1.092170;0.593564;0.500000;
46;1.062225;0.618594;0.422222;
47;1.058872;0.599523;0.483333;
48;1.057365;0.604291;0.422222;
49;1.038202;0.613826;0.450000;
50;1.049913;0.607867;0.494444;
51;1.043633;0.599523;0.477778;
52;1.033075;0.615018;0.505556;
53;1.031186;0.613826;0.416667;
54;1.027708;0.620977;0.511111;
55;1.019126;0.634088;0.500000;
56;1.007611;0.618594;0.472222;
57;1.006945;0.635280;0.477778;
58;0.999550;0.611442;0.461111;
59;0.975075;0.641240;0.511111;
60;0.983895;0.640048;0.472222;
61;0.990992;0.609058;0.416667;
62;0.988339;0.618594;0.433333;
63;0.963195;0.630513;0.488889;
64;0.977522;0.634088;0.466667;
65;0.984656;0.638856;0.433333;
66;0.947164;0.650775;0.450000;
67;0.956079;0.648391;0.500000;
68;0.979495;0.617402;0.461111;
69;0.963527;0.646007;0.466667;
70;0.957720;0.637664;0.444444;
71;0.930368;0.641240;0.477778;
72;0.917175;0.674613;0.472222;
73;0.931264;0.643623;0.455556;
74;0.935389;0.650775;0.488889;
75;0.916687;0.665077;0.477778;
76;0.901618;0.669845;0.466667;
77;0.890569;0.673421;0.472222;
78;0.909249;0.656734;0.477778;
79;0.901336;0.650775;0.455556;
80;0.863946;0.686532;0.477778;
81;0.849517;0.674613;0.500000;
82;0.848698;0.690107;0.477778;
83;0.856753;0.669845;0.494444;
84;0.882862;0.672229;0.538889;
85;0.848972;0.678188;0.488889;
86;0.831937;0.688915;0.477778;
87;0.826815;0.674613;0.527778;
88;0.833746;0.694875;0.477778;
89;0.870496;0.690107;0.488889;
90;0.828260;0.703218;0.477778;
91;0.811401;0.696067;0.533333;
92;0.838282;0.684148;0.533333;
93;0.791435;0.712753;0.488889;
94;0.820852;0.694875;0.550000;
95;0.815367;0.681764;0.444444;
96;0.818385;0.679380;0.477778;
97;0.770659;0.712753;0.555556;
