id;train_loss;train_acc;val_acc;val_loss
0;1.729558;0.250000;-1.000000;
1;1.598871;0.500000;-1.000000;
2;1.305705;0.750000;-1.000000;
3;1.783025;0.437500;-1.000000;
4;1.618970;0.500000;-1.000000;
5;1.865017;0.312500;-1.000000;
6;1.583332;0.500000;-1.000000;
7;1.615208;0.437500;-1.000000;
8;1.504411;0.500000;-1.000000;
9;1.444580;0.437500;-1.000000;
10;1.128221;0.812500;-1.000000;
11;1.852928;0.312500;-1.000000;
12;1.393937;0.375000;-1.000000;
13;1.354290;0.625000;-1.000000;
14;1.616421;0.437500;-1.000000;
15;1.791026;0.312500;-1.000000;
16;1.349921;0.500000;-1.000000;
17;1.596182;0.375000;-1.000000;
18;1.959318;0.312500;-1.000000;
19;1.534683;0.500000;-1.000000;
20;1.596669;0.437500;-1.000000;
21;1.545980;0.500000;-1.000000;
22;1.653680;0.312500;-1.000000;
23;1.422252;0.500000;-1.000000;
24;1.483902;0.500000;-1.000000;
25;1.528898;0.437500;-1.000000;
26;1.686059;0.375000;-1.000000;
27;1.273993;0.625000;-1.000000;
28;1.280332;0.625000;-1.000000;
29;1.605292;0.500000;-1.000000;
30;1.444758;0.500000;-1.000000;
31;1.370091;0.562500;-1.000000;
32;1.459595;0.562500;-1.000000;
33;1.445113;0.500000;-1.000000;
34;1.561675;0.437500;-1.000000;
35;1.483637;0.437500;-1.000000;
36;1.260993;0.625000;-1.000000;
37;1.451699;0.500000;-1.000000;
38;1.453558;0.562500;-1.000000;
39;1.406764;0.625000;-1.000000;
40;1.397450;0.562500;-1.000000;
41;1.568265;0.437500;-1.000000;
42;1.395745;0.500000;-1.000000;
43;1.448564;0.500000;-1.000000;
44;1.977517;0.312500;-1.000000;
45;1.511780;0.375000;-1.000000;
46;1.486636;0.375000;-1.000000;
47;1.433064;0.562500;-1.000000;
48;1.614794;0.437500;-1.000000;
49;1.629205;0.375000;-1.000000;
50;1.373326;0.562500;-1.000000;
51;1.995505;0.250000;-1.000000;
52;1.457877;0.428571;-1.000000;
53;1.356476;0.625000;-1.000000;
54;1.555141;0.500000;-1.000000;
55;1.079261;0.750000;-1.000000;
56;1.560980;0.437500;-1.000000;
57;1.580026;0.500000;-1.000000;
58;1.847648;0.312500;-1.000000;
59;1.606637;0.500000;-1.000000;
60;1.495928;0.437500;-1.000000;
61;1.461349;0.500000;-1.000000;
62;1.447283;0.437500;-1.000000;
63;1.105337;0.812500;-1.000000;
64;1.865942;0.312500;-1.000000;
65;1.316929;0.437500;-1.000000;
66;1.223994;0.687500;-1.000000;
67;1.582891;0.437500;-1.000000;
68;1.759648;0.312500;-1.000000;
69;1.353786;0.562500;-1.000000;
70;1.587436;0.375000;-1.000000;
71;1.882579;0.312500;-1.000000;
72;1.479296;0.500000;-1.000000;
73;1.565811;0.437500;-1.000000;
74;1.618750;0.500000;-1.000000;
75;1.614160;0.312500;-1.000000;
76;1.485976;0.562500;-1.000000;
77;1.476463;0.500000;-1.000000;
78;1.592080;0.437500;-1.000000;
79;1.613776;0.375000;-1.000000;
80;1.233950;0.625000;-1.000000;
81;1.236752;0.625000;-1.000000;
82;1.626731;0.500000;-1.000000;
83;1.436628;0.500000;-1.000000;
84;1.317872;0.562500;-1.000000;
85;1.393714;0.562500;-1.000000;
86;1.400049;0.500000;-1.000000;
87;1.511711;0.437500;-1.000000;
88;1.432208;0.437500;-1.000000;
89;1.198227;0.625000;-1.000000;
90;1.476711;0.500000;-1.000000;
91;1.408699;0.562500;-1.000000;
92;1.356519;0.625000;-1.000000;
93;1.333576;0.562500;-1.000000;
94;1.579635;0.437500;-1.000000;
95;1.348506;0.500000;-1.000000;
96;1.448702;0.500000;-1.000000;
97;1.967971;0.312500;-1.000000;
98;1.435195;0.375000;-1.000000;
99;1.375760;0.625000;-1.000000;
100;1.418757;0.562500;-1.000000;
101;1.507478;0.437500;-1.000000;
102;1.642113;0.375000;-1.000000;
103;1.305696;0.562500;-1.000000;
104;1.860339;0.250000;-1.000000;
105;1.371540;0.571429;-1.000000;
106;1.275055;0.625000;-1.000000;
107;1.507188;0.500000;-1.000000;
108;1.016700;0.750000;-1.000000;
109;1.544924;0.437500;-1.000000;
110;1.569278;0.500000;-1.000000;
111;1.884256;0.312500;-1.000000;
112;1.542535;0.500000;-1.000000;
113;1.426624;0.437500;-1.000000;
114;1.348129;0.500000;-1.000000;
115;1.394194;0.437500;-1.000000;
116;1.038196;0.750000;-1.000000;
117;1.849077;0.312500;-1.000000;
118;1.307148;0.437500;-1.000000;
119;1.243138;0.625000;-1.000000;
120;1.497380;0.437500;-1.000000;
121;1.738711;0.312500;-1.000000;
122;1.306845;0.625000;-1.000000;
123;1.473008;0.375000;-1.000000;
124;1.855434;0.250000;-1.000000;
125;1.454741;0.437500;-1.000000;
126;1.494303;0.437500;-1.000000;
127;1.545833;0.500000;-1.000000;
128;1.616687;0.312500;-1.000000;
129;1.418726;0.500000;-1.000000;
130;1.389369;0.500000;-1.000000;
131;1.492266;0.437500;-1.000000;
132;1.580332;0.375000;-1.000000;
133;1.207373;0.625000;-1.000000;
134;1.286476;0.625000;-1.000000;
