id;train_loss;train_acc;val_acc;val_loss
0;1.534534;0.471990;0.511111;
1;1.485672;0.489869;0.511111;
2;1.443756;0.487485;0.533333;
3;1.419016;0.491061;0.544444;
4;1.381279;0.504172;0.555556;
5;1.350227;0.501788;0.561111;
6;1.344744;0.516091;0.555556;
7;1.306639;0.522050;0.572222;
8;1.290527;0.529201;0.566667;
9;1.288250;0.531585;0.566667;
10;1.245540;0.539928;0.561111;
11;1.237799;0.542312;0.572222;
12;1.228793;0.537545;0.566667;
13;1.194302;0.548272;0.594444;
14;1.199229;0.563766;0.577778;
15;1.183488;0.548272;0.583333;
16;1.166020;0.548272;0.588889;
17;1.141671;0.589988;0.594444;
18;1.170704;0.553039;0.594444;
19;1.143856;0.586412;0.572222;
20;1.118308;0.582837;0.583333;
21;1.134249;0.587604;0.583333;
22;1.093217;0.575685;0.594444;
23;1.113751;0.579261;0.588889;
24;1.085547;0.600715;0.572222;
25;1.087660;0.585221;0.605556;
26;1.054201;0.613826;0.600000;
27;1.049642;0.613826;0.600000;
28;1.040926;0.599523;0.600000;
29;1.043035;0.607867;0.600000;
30;1.010040;0.634088;0.600000;
31;0.994272;0.632896;0.616667;
32;0.976718;0.650775;0.594444;
33;0.981629;0.643623;0.600000;
34;0.971251;0.650775;0.605556;
35;0.961634;0.635280;0.594444;
36;0.943974;0.660310;0.550000;
37;0.949131;0.662694;0.577778;
38;0.945990;0.657926;0.594444;
39;0.949421;0.642431;0.605556;
40;0.925938;0.656734;0.583333;
41;0.919006;0.659118;0.572222;
42;0.917849;0.671037;0.605556;
43;0.917494;0.654350;0.611111;
44;0.921812;0.656734;0.577778;
45;0.911720;0.673421;0.605556;
46;0.888411;0.688915;0.594444;
47;0.870088;0.672229;0.583333;
48;0.855920;0.696067;0.600000;
49;0.827743;0.696067;0.605556;
50;0.865142;0.674613;0.577778;
51;0.830002;0.703218;0.561111;
52;0.857204;0.685340;0.583333;
53;0.822129;0.706794;0.561111;
54;0.807126;0.698451;0.600000;
55;0.808202;0.693683;0.583333;
56;0.779589;0.725864;0.577778;
57;0.789378;0.697259;0.544444;
58;0.785002;0.718713;0.555556;
59;0.775827;0.712753;0.583333;
60;0.760330;0.723480;0.566667;
61;0.755329;0.723480;0.577778;
62;0.757304;0.723480;0.594444;
63;0.709116;0.744934;0.600000;
64;0.738060;0.730632;0.594444;
65;0.735199;0.719905;0.594444;
66;0.723565;0.746126;0.572222;
67;0.715560;0.737783;0.600000;
68;0.689415;0.735399;0.561111;
69;0.710662;0.742551;0.577778;
70;0.699993;0.740167;0.577778;
71;0.692562;0.742551;0.627778;
72;0.697171;0.747318;0.572222;
73;0.661118;0.752086;0.588889;
74;0.689442;0.740167;0.583333;
75;0.678107;0.758045;0.522222;
76;0.632039;0.762813;0.538889;
77;0.648199;0.764005;0.600000;
78;0.644271;0.758045;0.555556;
79;0.651323;0.761621;0.605556;
80;0.620134;0.761621;0.572222;
81;0.641438;0.772348;0.588889;
82;0.607341;0.773540;0.522222;
83;0.612426;0.779499;0.566667;
84;0.601238;0.780691;0.611111;
85;0.582946;0.784267;0.494444;
86;0.578215;0.794994;0.577778;
87;0.629311;0.756853;0.583333;
88;0.552819;0.787843;0.572222;
89;0.555748;0.787843;0.555556;
90;0.613272;0.771156;0.572222;
91;0.575548;0.779499;0.527778;
92;0.546531;0.810489;0.527778;
93;0.560634;0.796186;0.566667;
94;0.518986;0.816448;0.594444;
95;0.558156;0.780691;0.550000;
96;0.500937;0.802145;0.577778;
97;0.509376;0.823600;0.583333;
98;0.509915;0.809297;0.583333;
99;0.512492;0.821216;0.555556;
100;0.491535;0.824791;0.522222;
101;0.470729;0.829559;0.533333;
102;0.504824;0.817640;0.594444;
103;0.501718;0.802145;0.544444;
104;0.466508;0.834327;0.544444;
105;0.506342;0.818832;0.600000;
106;0.474216;0.825983;0.561111;
107;0.434752;0.837902;0.516667;
108;0.471783;0.835518;0.561111;
109;0.448960;0.848629;0.522222;
110;0.470720;0.822408;0.566667;
111;0.435485;0.842670;0.550000;
112;0.433601;0.842670;0.594444;
113;0.451566;0.835518;0.577778;
114;0.442467;0.843862;0.622222;
115;0.420694;0.854589;0.600000;
116;0.379559;0.866508;0.605556;
117;0.417655;0.849821;0.577778;
118;0.426615;0.828367;0.533333;
119;0.413570;0.833135;0.561111;
120;0.395598;0.864124;0.561111;
121;0.386317;0.873659;0.566667;
122;0.393162;0.862932;0.511111;
123;0.385916;0.858164;0.577778;
124;0.373146;0.870083;0.572222;
125;0.389949;0.859356;0.577778;
126;0.357044;0.876043;0.583333;
127;0.383450;0.858164;0.583333;
128;0.337229;0.887962;0.583333;
129;0.353629;0.873659;0.555556;
130;0.352302;0.862932;0.544444;
131;0.342851;0.879619;0.572222;
132;0.346729;0.887962;0.572222;
133;0.336742;0.879619;0.561111;
134;0.332345;0.887962;0.566667;
135;0.324166;0.891538;0.555556;
136;0.331736;0.880810;0.572222;
137;0.307169;0.901073;0.544444;
138;0.313919;0.884386;0.511111;
139;0.330372;0.872467;0.588889;
140;0.312852;0.883194;0.555556;
141;0.311838;0.893921;0.505556;
142;0.295832;0.891538;0.566667;
143;0.277373;0.910608;0.566667;
144;0.261172;0.896305;0.533333;
145;0.304619;0.896305;0.544444;
146;0.295940;0.882002;0.544444;
147;0.293941;0.890346;0.516667;
148;0.301984;0.890346;0.538889;
149;0.260232;0.901073;0.533333;
150;0.285996;0.907032;0.600000;
151;0.282551;0.893921;0.527778;
152;0.245150;0.921335;0.550000;
153;0.250401;0.916567;0.577778;
154;0.260841;0.903456;0.572222;
155;0.232659;0.923719;0.527778;
156;0.216721;0.933254;0.561111;
157;0.273860;0.898689;0.588889;
158;0.241112;0.911800;0.588889;
159;0.223864;0.928486;0.555556;
160;0.246915;0.909416;0.588889;
161;0.223217;0.918951;0.561111;
162;0.229296;0.918951;0.544444;
163;0.221039;0.926103;0.594444;
164;0.209098;0.923719;0.600000;
165;0.189853;0.939213;0.566667;
166;0.211076;0.928486;0.566667;
167;0.192461;0.935638;0.533333;
168;0.190089;0.938021;0.550000;
169;0.203367;0.930870;0.588889;
170;0.206689;0.927294;0.561111;
171;0.176054;0.939213;0.555556;
172;0.196321;0.940405;0.566667;
173;0.196253;0.932062;0.583333;
174;0.177372;0.939213;0.561111;
175;0.206825;0.924911;0.561111;
176;0.179821;0.939213;0.544444;
177;0.186878;0.930870;0.533333;
178;0.169436;0.947557;0.566667;
179;0.172352;0.943981;0.544444;
