id;train_loss;train_acc;val_acc;val_loss
0;1.796740;0.062500;-1.000000;
1;1.787200;0.375000;-1.000000;
2;1.770779;0.625000;-1.000000;
3;1.780938;0.437500;-1.000000;
4;1.775268;0.500000;-1.000000;
5;1.780997;0.312500;-1.000000;
6;1.772115;0.500000;-1.000000;
7;1.780398;0.437500;-1.000000;
8;1.764486;0.500000;-1.000000;
9;1.767902;0.437500;-1.000000;
10;1.741127;0.812500;-1.000000;
11;1.769600;0.312500;-1.000000;
12;1.762404;0.437500;-1.000000;
13;1.746106;0.625000;-1.000000;
14;1.760607;0.437500;-1.000000;
15;1.755943;0.312500;-1.000000;
16;1.736576;0.625000;-1.000000;
17;1.758062;0.375000;-1.000000;
18;1.772379;0.312500;-1.000000;
19;1.727251;0.500000;-1.000000;
20;1.758870;0.437500;-1.000000;
21;1.731304;0.500000;-1.000000;
22;1.754174;0.312500;-1.000000;
23;1.745304;0.562500;-1.000000;
24;1.745078;0.500000;-1.000000;
25;1.729463;0.437500;-1.000000;
26;1.759156;0.375000;-1.000000;
27;1.696717;0.625000;-1.000000;
28;1.712332;0.625000;-1.000000;
29;1.728149;0.500000;-1.000000;
30;1.701128;0.500000;-1.000000;
31;1.685114;0.562500;-1.000000;
32;1.683408;0.562500;-1.000000;
33;1.739568;0.500000;-1.000000;
34;1.717341;0.437500;-1.000000;
35;1.717535;0.437500;-1.000000;
36;1.661394;0.625000;-1.000000;
37;1.681695;0.500000;-1.000000;
38;1.690783;0.562500;-1.000000;
39;1.661461;0.625000;-1.000000;
40;1.647066;0.562500;-1.000000;
41;1.681443;0.437500;-1.000000;
42;1.684834;0.500000;-1.000000;
43;1.661964;0.500000;-1.000000;
44;1.776983;0.312500;-1.000000;
45;1.673347;0.375000;-1.000000;
46;1.626827;0.500000;-1.000000;
47;1.612031;0.562500;-1.000000;
48;1.668956;0.437500;-1.000000;
49;1.742931;0.375000;-1.000000;
50;1.592239;0.562500;-1.000000;
51;1.746570;0.250000;-1.000000;
52;1.680725;0.428571;-1.000000;
53;1.562873;0.625000;-1.000000;
54;1.658414;0.500000;-1.000000;
55;1.412821;0.750000;-1.000000;
56;1.645441;0.437500;-1.000000;
57;1.613219;0.500000;-1.000000;
58;1.720331;0.312500;-1.000000;
59;1.632355;0.500000;-1.000000;
60;1.628435;0.437500;-1.000000;
61;1.575003;0.500000;-1.000000;
62;1.608952;0.437500;-1.000000;
63;1.435455;0.812500;-1.000000;
64;1.668079;0.312500;-1.000000;
65;1.615642;0.437500;-1.000000;
66;1.490051;0.625000;-1.000000;
67;1.648591;0.437500;-1.000000;
68;1.663197;0.312500;-1.000000;
69;1.522510;0.625000;-1.000000;
70;1.635817;0.375000;-1.000000;
71;1.723684;0.312500;-1.000000;
72;1.510704;0.500000;-1.000000;
73;1.660304;0.437500;-1.000000;
74;1.545860;0.500000;-1.000000;
75;1.655007;0.312500;-1.000000;
76;1.564554;0.562500;-1.000000;
77;1.609452;0.500000;-1.000000;
78;1.577637;0.437500;-1.000000;
79;1.658244;0.375000;-1.000000;
80;1.439136;0.625000;-1.000000;
81;1.472404;0.625000;-1.000000;
82;1.587556;0.500000;-1.000000;
83;1.494644;0.500000;-1.000000;
84;1.425794;0.562500;-1.000000;
85;1.427487;0.562500;-1.000000;
86;1.650210;0.500000;-1.000000;
87;1.591655;0.437500;-1.000000;
88;1.569836;0.437500;-1.000000;
89;1.369755;0.625000;-1.000000;
90;1.505601;0.500000;-1.000000;
91;1.480954;0.562500;-1.000000;
92;1.404250;0.625000;-1.000000;
